time_ms,value,temperature_C
1114920,258,25.00
1115064,259,25.00
1115209,259,25.00
1115353,259,25.00
1115498,259,25.00
1115642,259,25.00
1115786,259,25.00
1115931,259,25.00
1116075,259,25.00
1116220,259,25.00
1116364,259,25.00
1116509,258,25.00
1116654,259,25.00
1116801,259,25.00
1116945,259,25.00
1117090,259,25.00
1117234,259,25.00
1117378,259,25.00
1117523,258,25.00
1117667,259,25.00
1117814,259,25.00
1117958,259,25.00
1118103,259,25.00
1118247,258,25.00
1118391,259,25.00
1118536,258,25.00
1118681,259,25.00
1118825,259,25.00
1118970,259,25.00
1119114,259,25.00
1119258,259,25.00
1119403,259,25.00
1119547,259,25.00
1119692,260,25.00
1119836,259,25.00
1119981,259,25.00
1120125,259,25.00
1120270,260,25.00
1120414,259,25.00
1120559,258,25.00
1120706,259,25.00
1120850,258,25.00
1120995,259,25.00
1121139,259,25.00
1121283,258,25.00
1121428,259,25.00
1121572,259,25.00
1121716,259,25.00
1121862,259,25.00
1122007,259,25.00
1122151,259,25.00
1122295,258,25.00
1122440,258,25.00
1122584,259,25.00
1122728,260,25.00
1122873,259,25.00
1123017,259,25.00
1123161,259,25.00
1123306,259,25.00
1123450,259,25.00
1123595,259,25.00
1123739,258,25.00
1123883,258,25.00
1124027,258,25.00
1124172,259,25.00
1124316,259,25.00
1124460,259,25.00
1124607,258,25.00
1124752,259,25.00
1124896,258,25.00
1125040,259,25.00
1125185,260,25.00
1125329,258,25.00
1125473,259,25.00
1125618,259,25.00
1125762,259,25.00
1125908,259,25.00
1126053,258,25.00
1126197,259,25.00
1126341,260,25.00
1126485,259,25.00
1126630,259,25.00
1126774,259,25.00
1126918,258,25.00
1127063,259,25.00
1127207,258,25.00
1127351,259,25.00
1127496,258,25.00
1127640,259,25.00
1127785,259,25.00
1127929,259,25.00
1128073,259,25.00
1128218,258,25.00
1128362,259,25.00
1128509,258,25.00
1128653,259,25.00
1128798,259,25.00
1128942,258,25.00
1129087,259,25.00
1129231,259,25.00
1129376,259,25.00
1129520,259,25.00
1129665,259,25.00
3241,260,25.00
3422,259,25.00
3566,259,25.00
3711,259,25.00
3855,259,25.00
4000,259,25.00
4144,259,25.00
4289,258,25.00
4433,260,25.00
4578,259,25.00
4722,259,25.00
4867,259,25.00
5011,259,25.00
5156,259,25.00
5301,259,25.00
